mfld loss = 0.5966269373893738, ntk loss = 1.0706355571746826
mfld loss = 0.5474275946617126, ntk loss = 1.0479111671447754
mfld loss = 0.614604651927948, ntk loss = 1.216339349746704
mfld loss = 0.5009621977806091, ntk loss = 1.0711729526519775
mfld loss = 0.5912057161331177, ntk loss = 1.025390863418579
mfld loss = 0.548994243144989, ntk loss = 1.250674843788147
mfld loss = 0.5161054730415344, ntk loss = 0.9351304173469543
mfld loss = 0.42671334743499756, ntk loss = 1.3027575016021729
mfld loss = 0.5630115270614624, ntk loss = 0.9791439771652222
mfld loss = 0.4809908866882324, ntk loss = 1.033314824104309
mfld loss = 0.5957363247871399, ntk loss = 1.0609005689620972
mfld loss = 0.5546174645423889, ntk loss = 1.1831127405166626
mfld loss = 0.48988035321235657, ntk loss = 1.166690468788147
mfld loss = 0.41672247648239136, ntk loss = 1.245263695716858
mfld loss = 0.584354817867279, ntk loss = 1.1109154224395752
mfld loss = 0.4985279440879822, ntk loss = 1.1520954370498657
mfld loss = 0.5356088280677795, ntk loss = 0.9738306999206543
mfld loss = 0.5627185106277466, ntk loss = 1.0437791347503662
mfld loss = 0.5651319026947021, ntk loss = 0.9846475124359131
mfld loss = 0.5014532208442688, ntk loss = 0.8688912987709045
mfld loss = 0.49833738803863525, ntk loss = 0.919774055480957
mfld loss = 0.6705267429351807, ntk loss = 1.1065750122070312
mfld loss = 0.4590652287006378, ntk loss = 1.0547049045562744
mfld loss = 0.6027581095695496, ntk loss = 0.9286102056503296
mfld loss = 0.5724563002586365, ntk loss = 1.0580261945724487
mfld loss = 0.4705221354961395, ntk loss = 0.9338391423225403
mfld loss = 0.529293954372406, ntk loss = 1.0750478506088257
mfld loss = 0.5379608869552612, ntk loss = 0.9056248068809509
mfld loss = 0.3922747075557709, ntk loss = 0.8706627488136292
mfld loss = 0.5690502524375916, ntk loss = 0.8802679181098938
mfld loss = 0.5531680583953857, ntk loss = 0.9930416941642761
mfld loss = 0.6252779364585876, ntk loss = 1.0097607374191284
mfld loss = 0.4318348467350006, ntk loss = 0.8592930436134338
mfld loss = 0.5215489268302917, ntk loss = 0.8688174486160278
mfld loss = 0.409488320350647, ntk loss = 0.7792857885360718
mfld loss = 0.4769379198551178, ntk loss = 0.7662299275398254
mfld loss = 0.4689074456691742, ntk loss = 0.9565752744674683
mfld loss = 0.4694649279117584, ntk loss = 0.895802915096283
mfld loss = 0.41552722454071045, ntk loss = 0.8860762119293213
mfld loss = 0.5136116147041321, ntk loss = 0.9557037353515625
mfld loss = 0.5450301766395569, ntk loss = 0.7738803029060364
mfld loss = 0.5389262437820435, ntk loss = 0.8170835971832275
mfld loss = 0.48547956347465515, ntk loss = 0.8684555888175964
mfld loss = 0.5757195949554443, ntk loss = 0.7826753258705139
mfld loss = 0.6550536155700684, ntk loss = 0.8119129538536072
mfld loss = 0.47704821825027466, ntk loss = 0.780688464641571
mfld loss = 0.5721560716629028, ntk loss = 0.9198289513587952
mfld loss = 0.48576194047927856, ntk loss = 0.7147214412689209
mfld loss = 0.6131829023361206, ntk loss = 0.8453076481819153
mfld loss = 0.39469778537750244, ntk loss = 0.5581640601158142
mfld loss = 0.5915265083312988, ntk loss = 0.8982552886009216
mfld loss = 0.453773558139801, ntk loss = 0.731313169002533
mfld loss = 0.5777470469474792, ntk loss = 0.7907200455665588
mfld loss = 0.4733014702796936, ntk loss = 0.599977970123291
mfld loss = 0.6344689130783081, ntk loss = 0.9462019205093384
mfld loss = 0.5640415549278259, ntk loss = 0.6483727693557739
mfld loss = 0.3942467272281647, ntk loss = 0.5626430511474609
mfld loss = 0.6017534732818604, ntk loss = 0.8503946661949158
mfld loss = 0.6381629109382629, ntk loss = 0.868788480758667
mfld loss = 0.45068129897117615, ntk loss = 0.6619619131088257
mfld loss = 0.43655410408973694, ntk loss = 0.49760082364082336
mfld loss = 0.577431321144104, ntk loss = 0.714261531829834
mfld loss = 0.600652813911438, ntk loss = 0.7968713045120239
mfld loss = 0.5465538501739502, ntk loss = 0.8595898747444153
mfld loss = 0.46299490332603455, ntk loss = 0.6758508086204529
mfld loss = 0.5183925628662109, ntk loss = 0.6611126065254211
mfld loss = 0.6360800266265869, ntk loss = 0.7646893262863159
mfld loss = 0.6076548099517822, ntk loss = 0.706541895866394
mfld loss = 0.39847755432128906, ntk loss = 0.6019912362098694
mfld loss = 0.5817910432815552, ntk loss = 0.6461749076843262
mfld loss = 0.5070648193359375, ntk loss = 0.5476211905479431
mfld loss = 0.5920252799987793, ntk loss = 0.790572464466095
mfld loss = 0.4674220085144043, ntk loss = 0.6505239605903625
mfld loss = 0.5715686678886414, ntk loss = 0.6789173483848572
mfld loss = 0.6368474960327148, ntk loss = 0.7125979661941528
mfld loss = 0.5266044735908508, ntk loss = 0.6190034747123718
mfld loss = 0.4783026874065399, ntk loss = 0.6113566756248474
mfld loss = 0.568760335445404, ntk loss = 0.7443240880966187
mfld loss = 0.6992940902709961, ntk loss = 0.7740650773048401
mfld loss = 0.4727447032928467, ntk loss = 0.660595178604126
mfld loss = 0.6019490361213684, ntk loss = 0.6554644703865051
mfld loss = 0.49640578031539917, ntk loss = 0.5515297055244446
mfld loss = 0.42122527956962585, ntk loss = 0.5895810723304749
mfld loss = 0.4315006136894226, ntk loss = 0.605283260345459
mfld loss = 0.5424179434776306, ntk loss = 0.6666104197502136
mfld loss = 0.5354506373405457, ntk loss = 0.7236483097076416
mfld loss = 0.59798264503479, ntk loss = 0.6487975716590881
mfld loss = 0.45580264925956726, ntk loss = 0.5822630524635315
mfld loss = 0.4918297827243805, ntk loss = 0.6088189482688904
mfld loss = 0.5164062976837158, ntk loss = 0.5883854627609253
mfld loss = 0.58244389295578, ntk loss = 0.8305882811546326
mfld loss = 0.5742225050926208, ntk loss = 0.7801440358161926
mfld loss = 0.40200668573379517, ntk loss = 0.701424241065979
mfld loss = 0.47760602831840515, ntk loss = 0.6890215873718262
mfld loss = 0.47891825437545776, ntk loss = 0.6336293816566467
mfld loss = 0.5283986330032349, ntk loss = 0.6495844721794128
mfld loss = 0.6019078493118286, ntk loss = 0.7897789478302002
mfld loss = 0.457614928483963, ntk loss = 0.5858106017112732
mfld loss = 0.47614672780036926, ntk loss = 0.6460447311401367
mfld loss = 0.5159806609153748, ntk loss = 0.7540455460548401
mfld loss = 0.4229172468185425, ntk loss = 0.631726861000061
mfld loss = 0.42510101199150085, ntk loss = 0.6276285648345947
mfld loss = 0.5450164079666138, ntk loss = 0.674647331237793
mfld loss = 0.4159778952598572, ntk loss = 0.7525078654289246
mfld loss = 0.4534037709236145, ntk loss = 0.642037034034729
mfld loss = 0.4597342908382416, ntk loss = 0.741119921207428
mfld loss = 0.5003219246864319, ntk loss = 0.7985895872116089
mfld loss = 0.5685062408447266, ntk loss = 0.7116864323616028
mfld loss = 0.5533580780029297, ntk loss = 0.8015919923782349
mfld loss = 0.46222123503685, ntk loss = 0.6157901883125305
mfld loss = 0.3851393759250641, ntk loss = 0.8018444776535034
mfld loss = 0.5455458164215088, ntk loss = 0.8303606510162354
mfld loss = 0.46641629934310913, ntk loss = 0.6512157917022705
mfld loss = 0.4812457263469696, ntk loss = 0.6163772344589233
mfld loss = 0.3799089789390564, ntk loss = 0.5694057941436768
mfld loss = 0.46049028635025024, ntk loss = 0.6941474676132202
mfld loss = 0.4848029315471649, ntk loss = 0.6777377128601074
mfld loss = 0.5769760012626648, ntk loss = 0.7139744162559509
mfld loss = 0.4021064341068268, ntk loss = 0.5980687737464905
mfld loss = 0.7146847248077393, ntk loss = 1.0032944679260254
mfld loss = 0.5752667784690857, ntk loss = 0.8006041049957275
mfld loss = 0.6334373354911804, ntk loss = 0.828406810760498
mfld loss = 0.562435507774353, ntk loss = 0.7312498092651367
mfld loss = 0.4232822358608246, ntk loss = 0.7667593359947205
mfld loss = 0.5439808964729309, ntk loss = 0.7773227691650391
