mfld loss = 0.7493895292282104, ntk loss = 0.9878547191619873
mfld loss = 0.726897120475769, ntk loss = 0.986459493637085
mfld loss = 0.6572380065917969, ntk loss = 0.9788230657577515
mfld loss = 0.7019688487052917, ntk loss = 0.9814317226409912
mfld loss = 0.70436030626297, ntk loss = 0.9832009077072144
mfld loss = 0.64271080493927, ntk loss = 0.9785955548286438
mfld loss = 0.7689754962921143, ntk loss = 0.9892578125
mfld loss = 0.7309463620185852, ntk loss = 0.986060619354248
mfld loss = 0.6836047172546387, ntk loss = 0.9829164743423462
mfld loss = 0.6488372683525085, ntk loss = 0.9829548597335815
mfld loss = 0.612838625907898, ntk loss = 0.9792515635490417
mfld loss = 0.7369329929351807, ntk loss = 0.9845151901245117
mfld loss = 0.6870697736740112, ntk loss = 0.9833225011825562
mfld loss = 0.7117109298706055, ntk loss = 0.9877854585647583
mfld loss = 0.7033801674842834, ntk loss = 0.9820846319198608
mfld loss = 0.6891723275184631, ntk loss = 0.9884282946586609
mfld loss = 0.7195606827735901, ntk loss = 0.9854674935340881
mfld loss = 0.7506268620491028, ntk loss = 0.987647533416748
mfld loss = 0.5869084596633911, ntk loss = 0.9804102778434753
mfld loss = 0.7196006774902344, ntk loss = 0.9865718483924866
mfld loss = 0.6789878606796265, ntk loss = 0.9819822311401367
mfld loss = 0.6604242324829102, ntk loss = 0.9821604490280151
mfld loss = 0.6254050731658936, ntk loss = 0.9807835221290588
mfld loss = 0.6392734050750732, ntk loss = 0.9829186797142029
mfld loss = 0.7316001653671265, ntk loss = 0.9906314015388489
mfld loss = 0.7923094630241394, ntk loss = 0.9916477799415588
mfld loss = 0.657295286655426, ntk loss = 0.9828488230705261
mfld loss = 0.7229464650154114, ntk loss = 0.9861944913864136
mfld loss = 0.7455453872680664, ntk loss = 0.9878137111663818
mfld loss = 0.6525459289550781, ntk loss = 0.9780317544937134
mfld loss = 0.6605665683746338, ntk loss = 0.9820185899734497
mfld loss = 0.6550430059432983, ntk loss = 0.9813743233680725
mfld loss = 0.7642554044723511, ntk loss = 0.9869734048843384
mfld loss = 0.6503674983978271, ntk loss = 0.9841461777687073
mfld loss = 0.7406952381134033, ntk loss = 0.9835366010665894
mfld loss = 0.6238569617271423, ntk loss = 0.9783111214637756
mfld loss = 0.6597051620483398, ntk loss = 0.9832319617271423
mfld loss = 0.6280081868171692, ntk loss = 0.9800321459770203
mfld loss = 0.6780765652656555, ntk loss = 0.9836961627006531
mfld loss = 0.6302663683891296, ntk loss = 0.9821151494979858
mfld loss = 0.6062729954719543, ntk loss = 0.9802770614624023
mfld loss = 0.7440829873085022, ntk loss = 0.9844257831573486
mfld loss = 0.7069166898727417, ntk loss = 0.9888519048690796
mfld loss = 0.6163613796234131, ntk loss = 0.9798614382743835
mfld loss = 0.6411131620407104, ntk loss = 0.9823890328407288
mfld loss = 0.5083858966827393, ntk loss = 0.9704818725585938
mfld loss = 0.5560119152069092, ntk loss = 0.9789541363716125
mfld loss = 0.6872599124908447, ntk loss = 0.9843153357505798
mfld loss = 0.7106075286865234, ntk loss = 0.9841867685317993
mfld loss = 0.6481562852859497, ntk loss = 0.9808720350265503
mfld loss = 0.639535129070282, ntk loss = 0.9820727109909058
mfld loss = 0.604929506778717, ntk loss = 0.9813459515571594
mfld loss = 0.5972724556922913, ntk loss = 0.9796839952468872
mfld loss = 0.6028980016708374, ntk loss = 0.9807635545730591
mfld loss = 0.588207483291626, ntk loss = 0.9785311818122864
mfld loss = 0.5744971036911011, ntk loss = 0.9751461744308472
mfld loss = 0.5819991230964661, ntk loss = 0.9783000946044922
mfld loss = 0.7151446342468262, ntk loss = 0.9846175909042358
mfld loss = 0.6145329475402832, ntk loss = 0.9819053411483765
mfld loss = 0.677479088306427, ntk loss = 0.9807431697845459
mfld loss = 0.5431516766548157, ntk loss = 0.9769985675811768
mfld loss = 0.645057201385498, ntk loss = 0.9824646711349487
mfld loss = 0.6970216035842896, ntk loss = 0.9840137958526611
mfld loss = 0.5327699780464172, ntk loss = 0.9777548909187317
mfld loss = 0.5927041172981262, ntk loss = 0.976733386516571
mfld loss = 0.5601457357406616, ntk loss = 0.9775814414024353
mfld loss = 0.6005195379257202, ntk loss = 0.9754348397254944
mfld loss = 0.717433750629425, ntk loss = 0.9855234026908875
mfld loss = 0.6198049187660217, ntk loss = 0.9798154830932617
mfld loss = 0.4904262125492096, ntk loss = 0.9728903770446777
mfld loss = 0.5896265506744385, ntk loss = 0.9783918261528015
mfld loss = 0.5516317486763, ntk loss = 0.97468501329422
mfld loss = 0.6329108476638794, ntk loss = 0.9827699065208435
mfld loss = 0.6127815246582031, ntk loss = 0.976750910282135
mfld loss = 0.5438922047615051, ntk loss = 0.9735432267189026
mfld loss = 0.6117831468582153, ntk loss = 0.9824779033660889
mfld loss = 0.5873644351959229, ntk loss = 0.9752360582351685
mfld loss = 0.68697190284729, ntk loss = 0.9853033423423767
mfld loss = 0.4613112807273865, ntk loss = 0.9699252247810364
mfld loss = 0.5536766648292542, ntk loss = 0.9752293229103088
mfld loss = 0.6218841075897217, ntk loss = 0.9840717315673828
mfld loss = 0.5039107203483582, ntk loss = 0.9757105708122253
mfld loss = 0.5480839014053345, ntk loss = 0.976348340511322
mfld loss = 0.6630057096481323, ntk loss = 0.983714759349823
mfld loss = 0.5772714018821716, ntk loss = 0.9786630868911743
